FX Sprint — all-teams tracker,,,,,,,,,,
Mark each cell when a team clears that row (an X or the time). Rename Team 1-10 to your real team names.,,,,,,,,,,
Milestone \ Team,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10
(team name),,,,,,,,,,
== SETUP: prove the pipeline (see 00-setup-checklist.md) ==,,,,,,,,,,
S1 Repo created + collaborators invited & accepted,,,,,,,,,,
S2 Skeleton pushed to main + main protected,,,,,,,,,,
S3 Branch + 1-line change pushed,,,,,,,,,,
S4 PR opened + CI green,,,,,,,,,,
S5 Merged to main,,,,,,,,,,
Warm-up complete (ready for features),,,,,,,,,,
== REQUIREMENTS: mark when MERGED to main ==,,,,,,,,,,
01 Rates listing (seq),,,,,,,,,,
02 Single-pair lookup (seq),,,,,,,,,,
03 Conversion calculator (seq),,,,,,,,,,
04 Record & list transfers (seq),,,,,,,,,,
05 Validation & errors (seq),,,,,,,,,,
06 Tradeable-pairs table - DB (parallel),,,,,,,,,,
07 Market-stats endpoint - API (parallel),,,,,,,,,,
08 Rate-history endpoint - API (parallel),,,,,,,,,,
09 About page - FE (parallel),,,,,,,,,,
10 Filter currencies list - FE (parallel),,,,,,,,,,
FEATURES MERGED (count of 10),,,,,,,,,,
,,,,,,,,,,
Rule:,MERGED only when the Definition of Done (README section 6) holds: ACs ticked + tests green + reviewed PR + main still green,,,,,,,,,
